DEPTH,GR,RHOB,RT
7838.5,105.03,2.546,19.703
7839,107.27,2.555,21.461
7839.5,108.47,2.559,22.837
7840,109.67,2.564,26.736
7840.5,110.41,2.567,37.884
7841,111.15,2.571,26.49
7841.5,113.08,2.579,37.829
7842,115,2.589,66.124
7842.5,113.33,2.581,41.536
7843,111.65,2.573,39.28
7843.5,108.36,2.559,24.341
7844,105.08,2.546,21.196
7844.5,101.93,2.536,19.033
7845,98.78,2.526,12.692
7845.5,100.7,2.532,15.432
7846,102.61,2.538,17.982
7846.5,102.15,2.536,13.204
7847,101.69,2.535,17.646
7847.5,98.45,2.525,16.637
7848,95.2,2.516,10.143
7848.5,86.32,2.492,8.852
7849,77.43,2.469,9.25
7849.5,67.38,2.443,9.039
7850,42.83,2.377,15.762
7850.5,42.39,2.376,17.618
7851,41.95,2.375,16.826
7851.5,42.69,2.377,17.757
7852,43.43,2.379,16.981
7852.5,43.91,2.38,16.904
7853,44.4,2.381,15.28
7853.5,46.24,2.386,15.205
7854,48.09,2.391,13.27
7854.5,46.83,2.387,15.04
7855,45.58,2.384,13.286
7855.5,44.82,2.382,14.13
7856,44.07,2.38,14.875
7856.5,43.44,2.379,15.174
7857,42.8,2.377,15.002
7857.5,41.38,2.374,18.133
7858,39.95,2.37,18.38
7858.5,38.52,2.367,20.399
7859,37.08,2.363,20.611
7859.5,35.93,2.361,25.234
7860,34.79,2.358,24.298
7860.5,34.6,2.358,26.89
7861,34.41,2.357,26.933
7861.5,34.51,2.357,27.724
7862,34.61,2.358,26.658
7862.5,38.26,2.366,20.578
7863,41.91,2.375,17.642
7863.5,43.75,2.38,14.646
7864,45.6,2.384,14.839
7864.5,45.12,2.383,14.493
7865,44.63,2.382,14.723
7865.5,42,2.375,16.225
7866,39.36,2.369,20.538
7866.5,38.07,2.366,21.038
7867,36.78,2.363,22.85
7867.5,40.81,2.372,16.963
7868,44.84,2.382,14.876
7868.5,46.19,2.386,13.756
7869,47.55,2.389,12.707
7869.5,47.62,2.389,12.902
7870,47.69,2.39,13.539
7870.5,112.68,2.578,46.326
7871,57.34,2.415,9.383
7871.5,55.57,2.41,9.632
7872,53.8,2.406,11.98
7872.5,54.41,2.407,11.014
7873,55.03,2.409,10.159
7873.5,52.53,2.402,11.148
7874,50.04,2.396,11.537
7874.5,47.15,2.388,13.996
7875,44.26,2.381,15.565
7875.5,44.06,2.38,16.942
7876,43.87,2.38,15.513
7876.5,45.11,2.383,13.743
7877,46.34,2.386,14.405
7877.5,46.73,2.387,12.829
7878,47.11,2.388,12.558
7878.5,47.08,2.388,12.692
7879,47.05,2.388,14.856
7879.5,49.15,2.393,11.607
7880,51.25,2.399,12.812
7880.5,53.02,2.404,11.216
7881,54.8,2.408,10.283
7881.5,54.79,2.408,11.238
7882,54.79,2.408,11.455
7882.5,52.2,2.401,12.336
7883,49.61,2.395,13.199
7883.5,47.38,2.389,13.816
7884,45.15,2.383,14.023
7884.5,44.92,2.383,14.958
7885,44.68,2.382,15.043
7885.5,49.29,2.394,12.051
7886,53.89,2.406,11.717
7886.5,63.76,2.433,9.142
7887,73.62,2.459,7.365
7887.5,76.53,2.467,7.852
7888,79.43,2.475,7.588
7888.5,69.72,2.449,8.765
7889,60.02,2.422,9.798
7889.5,53.56,2.405,10.146
7890,47.1,2.388,13.593
7890.5,50.95,2.398,12.121
7891,54.81,2.408,11.449
7891.5,70.22,2.45,9.527
7892,85.63,2.491,11.333
7892.5,92.36,2.508,11.331
7893,99.08,2.527,12.799
7893.5,97.75,2.523,13.497
7894,96.43,2.519,10.808
7894.5,96.05,2.518,14.533
7895,95.66,2.517,10.308
7895.5,97.54,2.522,15.467
7896,99.43,2.528,11.838
7896.5,102.14,2.536,13.279
